COD_PROVINCIA|IND_SEXO|CLASE_PERMISO|DESC_ANTIG_PERMISO|NUM_CONDUCTORES
01|M|A   |2016         |2
01|M|A   |2017         |2
01|M|A   |2018         |2
01|M|A   |2019         |3
01|M|A   |2020         |6
01|M|A   |2021         |6
01|M|A   |2022         |10
01|M|A   |2023         |11
01|M|A   |2024         |15
01|M|A   |2025         |16
01|M|A   |2026         |2
01|M|A   |Anterior_2014|69
01|M|A1  |2014         |2
01|M|A1  |2015         |3
01|M|A1  |2016         |2
01|M|A1  |2018         |9
01|M|A1  |2019         |9
01|M|A1  |2020         |11
01|M|A1  |2021         |15
01|M|A1  |2022         |11
01|M|A1  |2023         |13
01|M|A1  |2024         |24
01|M|A1  |2025         |25
01|M|A1  |2026         |3
01|M|A1  |Anterior_2014|158
01|M|A2  |2014         |1
01|M|A2  |2016         |3
01|M|A2  |2017         |1
01|M|A2  |2018         |8
01|M|A2  |2019         |5
01|M|A2  |2020         |14
01|M|A2  |2021         |13
01|M|A2  |2022         |15
01|M|A2  |2023         |12
01|M|A2  |2024         |22
01|M|A2  |2025         |24
01|M|A2  |2026         |2
01|M|A2  |Anterior_2014|76
01|M|AM  |2014         |12
01|M|AM  |2015         |10
01|M|AM  |2016         |5
01|M|AM  |2017         |9
01|M|AM  |2018         |17
01|M|AM  |2019         |14
01|M|AM  |2020         |17
01|M|AM  |2021         |20
01|M|AM  |2022         |19
01|M|AM  |2023         |28
01|M|AM  |2024         |31
01|M|AM  |2025         |33
01|M|AM  |2026         |1
01|M|AM  |Anterior_2014|5352
01|M|B   |2014         |1055
01|M|B   |2015         |935
01|M|B   |2016         |1148
01|M|B   |2017         |1096
01|M|B   |2018         |1292
01|M|B   |2019         |1346
01|M|B   |2020         |1065
01|M|B   |2021         |1369
01|M|B   |2022         |1418
01|M|B   |2023         |1389
01|M|B   |2024         |1311
01|M|B   |2025         |1402
01|M|B   |2026         |77
01|M|B   |Anterior_2014|62410
01|M|B+E |2015         |1
01|M|B+E |2016         |1
01|M|B+E |2017         |2
01|M|B+E |2018         |2
01|M|B+E |2020         |1
01|M|B+E |2021         |1
01|M|B+E |2022         |4
01|M|B+E |2023         |4
01|M|B+E |2024         |4
01|M|B+E |2025         |5
01|M|B+E |Anterior_2014|22
01|M|C   |Anterior_2014|2
01|M|C1  |Anterior_2014|6
01|M|C1+E|Anterior_2014|2
01|M|D1  |2021         |1
01|V|A   |2014         |1
01|V|A   |2015         |4
01|V|A   |2016         |3
01|V|A   |2017         |4
